Moneda,Fecha,Market_Cap
bitcoin,2018-08-22,109149076720.34018
bitcoin,2018-08-23,112327439428.77159
bitcoin,2018-08-24,115177527171.81319
bitcoin,2018-08-25,116073397012.0424
bitcoin,2018-08-26,115406552890.99017
bitcoin,2018-08-27,118546009735.9248
bitcoin,2018-08-28,121992306938.18849
bitcoin,2018-08-29,121479639297.29665
bitcoin,2018-08-30,121103237785.70247
bitcoin,2018-08-31,121186316787.30235
bitcoin,2018-09-01,124380655386.09407
bitcoin,2018-09-02,125994361368.72597
bitcoin,2018-09-03,125200923805.39091
bitcoin,2018-09-04,126949626755.787
bitcoin,2018-09-05,116602093876.15263
bitcoin,2018-09-06,112034863191.16696
bitcoin,2018-09-07,110396118506.89438
bitcoin,2018-09-08,106668555553.51491
bitcoin,2018-09-09,108219061918.52274
bitcoin,2018-09-10,108846231385.41852
bitcoin,2018-09-11,108449181464.89592
bitcoin,2018-09-12,109298582014.21779
bitcoin,2018-09-13,112124461661.13242
bitcoin,2018-09-14,112334356298.05247
bitcoin,2018-09-15,112796085614.54744
bitcoin,2018-09-16,112373562206.64603
bitcoin,2018-09-17,107960190646.44861
bitcoin,2018-09-18,109629673484.58704
bitcoin,2018-09-19,110292032124.89343
bitcoin,2018-09-20,112172960507.04015
bitcoin,2018-09-21,116710823191.41154
bitcoin,2018-09-22,116607568773.97198
bitcoin,2018-09-23,116001860055.71248
bitcoin,2018-09-24,114024650850.04753
bitcoin,2018-09-25,111360852966.35107
bitcoin,2018-09-26,111760801180.65999
bitcoin,2018-09-27,115905890382.87775
bitcoin,2018-09-28,114768551691.0015
bitcoin,2018-09-29,114265552573.72394
bitcoin,2018-09-30,114617564007.79602
bitcoin,2018-10-01,114225251470.51224
bitcoin,2018-10-02,112814709079.4464
bitcoin,2018-10-03,112545036630.82414
bitcoin,2018-10-04,113846158429.54834
bitcoin,2018-10-05,114567814410.76247
bitcoin,2018-10-06,114021329402.35275
bitcoin,2018-10-07,113962679824.78195
bitcoin,2018-10-08,115167647222.33853
bitcoin,2018-10-09,114837789505.01476
bitcoin,2018-10-10,113987017102.36557
bitcoin,2018-10-11,108155761830.83029
bitcoin,2018-10-12,108845285496.56729
bitcoin,2018-10-13,109372673141.74013
bitcoin,2018-10-14,109624316973.41199
bitcoin,2018-10-15,115236573309.55287
bitcoin,2018-10-16,114960968517.5375
bitcoin,2018-10-17,114953321633.49261
bitcoin,2018-10-18,112970698851.37468
bitcoin,2018-10-19,112394945004.92676
bitcoin,2018-10-20,113214078424.96126
bitcoin,2018-10-21,113208108538.70485
