Moneda,Fecha,prices
binancecoin,2018-08-25,10.12
binancecoin,2018-08-26,10.22
binancecoin,2018-08-27,11.22
binancecoin,2018-08-28,11.47
binancecoin,2018-08-29,11.16
binancecoin,2018-08-30,10.75
binancecoin,2018-08-31,11.0
binancecoin,2018-09-01,11.41
binancecoin,2018-09-02,11.28
binancecoin,2018-09-03,11.26
binancecoin,2018-09-04,11.35
binancecoin,2018-09-05,10.12
binancecoin,2018-09-06,10.26
binancecoin,2018-09-07,9.97
binancecoin,2018-09-08,9.47
binancecoin,2018-09-09,9.5
binancecoin,2018-09-10,9.51
binancecoin,2018-09-11,9.35
binancecoin,2018-09-12,9.2
binancecoin,2018-09-13,9.61
binancecoin,2018-09-14,9.92
binancecoin,2018-09-15,10.11
binancecoin,2018-09-16,9.94
binancecoin,2018-09-17,9.37
binancecoin,2018-09-18,9.55
binancecoin,2018-09-19,9.61
binancecoin,2018-09-20,10.05
binancecoin,2018-09-21,10.45
binancecoin,2018-09-22,10.32
binancecoin,2018-09-23,10.31
binancecoin,2018-09-24,10.04
binancecoin,2018-09-25,9.79
binancecoin,2018-09-26,9.74
binancecoin,2018-09-27,10.06
binancecoin,2018-09-28,9.97
binancecoin,2018-09-29,9.97
binancecoin,2018-09-30,10.01
binancecoin,2018-10-01,9.96
binancecoin,2018-10-02,10.34
binancecoin,2018-10-03,10.28
binancecoin,2018-10-04,10.31
binancecoin,2018-10-05,10.65
binancecoin,2018-10-06,10.43
binancecoin,2018-10-07,10.55
binancecoin,2018-10-08,10.56
binancecoin,2018-10-09,10.43
binancecoin,2018-10-10,10.38
binancecoin,2018-10-11,9.29
binancecoin,2018-10-12,9.55
binancecoin,2018-10-13,9.61
binancecoin,2018-10-14,9.58
binancecoin,2018-10-15,10.47
binancecoin,2018-10-16,10.15
binancecoin,2018-10-17,10.12
binancecoin,2018-10-18,9.85
binancecoin,2018-10-19,9.85
binancecoin,2018-10-20,9.88
binancecoin,2018-10-21,9.89
binancecoin,2018-10-22,9.82
binancecoin,2018-10-23,9.85
binancecoin,2018-10-24,9.76
binancecoin,2018-10-25,9.74
binancecoin,2018-10-26,9.76
binancecoin,2018-10-27,9.69
binancecoin,2018-10-28,9.7
binancecoin,2018-10-29,9.39
binancecoin,2018-10-30,9.44
binancecoin,2018-10-31,9.48
binancecoin,2018-11-01,9.57
binancecoin,2018-11-02,9.65
binancecoin,2018-11-03,9.58
binancecoin,2018-11-04,9.45
binancecoin,2018-11-05,9.7
binancecoin,2018-11-06,9.81
binancecoin,2018-11-07,9.88
binancecoin,2018-11-08,9.7
binancecoin,2018-11-09,9.57
binancecoin,2018-11-10,9.58
binancecoin,2018-11-11,9.53
binancecoin,2018-11-12,9.41
binancecoin,2018-11-13,9.31
binancecoin,2018-11-14,8.53
binancecoin,2018-11-15,8.25
binancecoin,2018-11-16,7.93
binancecoin,2018-11-17,7.81
binancecoin,2018-11-18,8.02
binancecoin,2018-11-19,6.7
binancecoin,2018-11-20,5.83
binancecoin,2018-11-21,6.23
binancecoin,2018-11-22,5.72
binancecoin,2018-11-23,5.62
binancecoin,2018-11-24,5.16
binancecoin,2018-11-25,5.21
binancecoin,2018-11-26,4.94
binancecoin,2018-11-27,4.94
binancecoin,2018-11-28,5.33
binancecoin,2018-11-29,5.35
binancecoin,2018-11-30,5.07
binancecoin,2018-12-01,5.26
binancecoin,2018-12-02,5.23
binancecoin,2018-12-03,5.07
binancecoin,2018-12-04,5.87
binancecoin,2018-12-05,6.06
binancecoin,2018-12-06,4.93
binancecoin,2018-12-07,4.51
binancecoin,2018-12-08,4.7
binancecoin,2018-12-09,4.8
binancecoin,2018-12-10,4.59
binancecoin,2018-12-11,4.86
binancecoin,2018-12-12,4.97
binancecoin,2018-12-13,4.6
binancecoin,2018-12-14,4.47
binancecoin,2018-12-15,4.54
binancecoin,2018-12-16,4.65
binancecoin,2018-12-17,5.06
binancecoin,2018-12-18,5.52
binancecoin,2018-12-19,5.42
binancecoin,2018-12-20,5.67
binancecoin,2018-12-21,5.48
binancecoin,2018-12-22,5.82
binancecoin,2018-12-23,5.96
binancecoin,2018-12-24,6.09
binancecoin,2018-12-25,5.36
binancecoin,2018-12-26,5.6
binancecoin,2018-12-27,5.17
binancecoin,2018-12-28,5.88
binancecoin,2018-12-29,5.73
binancecoin,2018-12-30,5.89
binancecoin,2018-12-31,6.08
binancecoin,2019-01-01,5.99
binancecoin,2019-01-02,6.06
binancecoin,2019-01-03,5.8
binancecoin,2019-01-04,5.97
binancecoin,2019-01-05,5.91
binancecoin,2019-01-06,6.27
binancecoin,2019-01-07,6.21
binancecoin,2019-01-08,6.57
binancecoin,2019-01-09,6.51
binancecoin,2019-01-10,5.84
binancecoin,2019-01-11,5.97
binancecoin,2019-01-12,5.87
binancecoin,2019-01-13,5.48
binancecoin,2019-01-14,6.01
binancecoin,2019-01-15,5.83
binancecoin,2019-01-16,6.06
binancecoin,2019-01-17,6.29
binancecoin,2019-01-18,6.45
binancecoin,2019-01-19,6.53
binancecoin,2019-01-20,6.4
binancecoin,2019-01-21,6.49
binancecoin,2019-01-22,6.45
binancecoin,2019-01-23,6.44
binancecoin,2019-01-24,6.43
binancecoin,2019-01-25,6.68
binancecoin,2019-01-26,6.94
binancecoin,2019-01-27,7.02
binancecoin,2019-01-28,6.16
binancecoin,2019-01-29,6.26
binancecoin,2019-01-30,6.14
binancecoin,2019-01-31,6.23
binancecoin,2019-02-01,6.53
binancecoin,2019-02-02,6.89
binancecoin,2019-02-03,6.73
binancecoin,2019-02-04,7.06
binancecoin,2019-02-05,7.7
binancecoin,2019-02-06,8.0
binancecoin,2019-02-07,7.75
binancecoin,2019-02-08,8.58
binancecoin,2019-02-09,8.83
binancecoin,2019-02-10,9.0
binancecoin,2019-02-11,9.4
binancecoin,2019-02-12,9.29
binancecoin,2019-02-13,8.85
binancecoin,2019-02-14,8.69
binancecoin,2019-02-15,9.26
binancecoin,2019-02-16,9.08
binancecoin,2019-02-17,9.21
binancecoin,2019-02-18,9.56
binancecoin,2019-02-19,10.48
binancecoin,2019-02-20,11.09
binancecoin,2019-02-21,10.42
binancecoin,2019-02-22,10.77
binancecoin,2019-02-23,10.65
binancecoin,2019-02-24,10.09
binancecoin,2019-02-25,9.69
binancecoin,2019-02-26,9.42
binancecoin,2019-02-27,9.82
binancecoin,2019-02-28,10.25
binancecoin,2019-03-01,11.25
binancecoin,2019-03-02,11.68
binancecoin,2019-03-03,11.31
binancecoin,2019-03-04,11.42
binancecoin,2019-03-05,13.63
binancecoin,2019-03-06,14.48
binancecoin,2019-03-07,14.91
binancecoin,2019-03-08,14.18
binancecoin,2019-03-09,14.49
binancecoin,2019-03-10,14.39
binancecoin,2019-03-11,14.33
binancecoin,2019-03-12,15.2
binancecoin,2019-03-13,14.96
binancecoin,2019-03-14,14.85
binancecoin,2019-03-15,14.88
binancecoin,2019-03-16,15.99
binancecoin,2019-03-17,15.6
binancecoin,2019-03-18,15.52
binancecoin,2019-03-19,15.43
binancecoin,2019-03-20,15.16
binancecoin,2019-03-21,14.39
binancecoin,2019-03-22,15.18
binancecoin,2019-03-23,15.14
binancecoin,2019-03-24,17.15
binancecoin,2019-03-25,16.78
binancecoin,2019-03-26,16.27
binancecoin,2019-03-27,16.59
binancecoin,2019-03-28,16.58
binancecoin,2019-03-29,16.48
binancecoin,2019-03-30,16.82
binancecoin,2019-03-31,17.38
binancecoin,2019-04-01,17.89
binancecoin,2019-04-02,19.72
binancecoin,2019-04-03,18.78
binancecoin,2019-04-04,19.19
binancecoin,2019-04-05,19.34
binancecoin,2019-04-06,19.19
binancecoin,2019-04-07,19.11
binancecoin,2019-04-08,18.06
binancecoin,2019-04-09,18.35
binancecoin,2019-04-10,18.26
binancecoin,2019-04-11,17.69
binancecoin,2019-04-12,18.23
binancecoin,2019-04-13,18.65
binancecoin,2019-04-14,19.32
binancecoin,2019-04-15,19.4
binancecoin,2019-04-16,19.78
binancecoin,2019-04-17,19.57
binancecoin,2019-04-18,21.71
binancecoin,2019-04-19,24.31
binancecoin,2019-04-20,24.94
binancecoin,2019-04-21,24.21
binancecoin,2019-04-22,23.93
binancecoin,2019-04-23,22.9
binancecoin,2019-04-24,23.09
