Moneda,Fecha,prices
staked-ether,2020-12-21,617.16
staked-ether,2020-12-22,617.16
staked-ether,2020-12-23,596.77
staked-ether,2020-12-24,611.5
staked-ether,2020-12-25,624.8
staked-ether,2020-12-26,629.07
staked-ether,2020-12-27,678.1
staked-ether,2020-12-28,730.42
staked-ether,2020-12-29,722.77
staked-ether,2020-12-30,722.28
staked-ether,2020-12-31,733.32
staked-ether,2021-01-01,723.53
staked-ether,2021-01-02,772.06
staked-ether,2021-01-03,977.57
staked-ether,2021-01-04,966.9
staked-ether,2021-01-05,1113.9
staked-ether,2021-01-06,1173.33
staked-ether,2021-01-07,1223.45
staked-ether,2021-01-08,1224.78
staked-ether,2021-01-09,1247.31
staked-ether,2021-01-10,1279.36
staked-ether,2021-01-11,1087.21
staked-ether,2021-01-12,1051.11
staked-ether,2021-01-13,1137.36
staked-ether,2021-01-14,1215.03
staked-ether,2021-01-15,1160.64
staked-ether,2021-01-16,1219.38
staked-ether,2021-01-17,1193.83
staked-ether,2021-01-18,1246.25
staked-ether,2021-01-19,1374.72
staked-ether,2021-01-20,1328.39
staked-ether,2021-01-21,1110.66
staked-ether,2021-01-22,1207.53
staked-ether,2021-01-23,1241.67
staked-ether,2021-01-24,1332.32
staked-ether,2021-01-25,1323.3
staked-ether,2021-01-26,1360.21
staked-ether,2021-01-27,1243.6
staked-ether,2021-01-28,1368.34
staked-ether,2021-01-29,1304.47
staked-ether,2021-01-30,1273.12
staked-ether,2021-01-31,1329.01
staked-ether,2021-02-01,1346.73
staked-ether,2021-02-02,1545.67
staked-ether,2021-02-03,1624.43
staked-ether,2021-02-04,1594.55
staked-ether,2021-02-05,1731.48
staked-ether,2021-02-06,1682.13
staked-ether,2021-02-07,1613.66
staked-ether,2021-02-08,1743.12
staked-ether,2021-02-09,1737.41
staked-ether,2021-02-10,1678.91
staked-ether,2021-02-11,1798.09
staked-ether,2021-02-12,1808.99
staked-ether,2021-02-13,1802.51
staked-ether,2021-02-14,1803.13
staked-ether,2021-02-15,1791.37
staked-ether,2021-02-16,1767.65
